htz,deg,m,m/s,target
0.0,0.3048,71.3,0.00266337,126.20100000000001
0.0,0.3048,71.3,0.00266337,125.20100000000001
0.0,0.3048,71.3,0.00266337,125.95100000000001
0.0,0.3048,71.3,0.00266337,127.59100000000001
0.0,0.3048,71.3,0.00266337,127.461
0.0,0.3048,71.3,0.00266337,125.571
0.0,0.3048,71.3,0.00266337,125.20100000000001
0.0,0.3048,71.3,0.00266337,123.061
0.0,0.3048,71.3,0.00266337,121.301
0.0,0.3048,71.3,0.00266337,119.541
0.0,0.3048,71.3,0.00266337,117.15100000000001
0.0,0.3048,71.3,0.00266337,115.391
0.0,0.3048,71.3,0.00266337,112.241
0.0,0.3048,71.3,0.00266337,108.721
0.0,0.3048,55.5,0.00283081,126.416
0.0,0.3048,55.5,0.00283081,127.696
0.0,0.3048,55.5,0.00283081,128.086
0.0,0.3048,55.5,0.00283081,126.96600000000001
0.0,0.3048,55.5,0.00283081,126.086
0.0,0.3048,55.5,0.00283081,126.986
0.0,0.3048,55.5,0.00283081,126.616
0.0,0.3048,55.5,0.00283081,124.10600000000001
0.0,0.3048,55.5,0.00283081,123.236
0.0,0.3048,55.5,0.00283081,121.10600000000001
0.0,0.3048,55.5,0.00283081,119.60600000000001
0.0,0.3048,55.5,0.00283081,117.976
0.0,0.3048,55.5,0.00283081,116.476
0.0,0.3048,55.5,0.00283081,113.07600000000001
0.0,0.3048,55.5,0.00283081,111.07600000000001
0.0,0.3048,39.6,0.00310138,118.12899999999999
0.0,0.3048,39.6,0.00310138,119.319
0.0,0.3048,39.6,0.00310138,122.779
0.0,0.3048,39.6,0.00310138,124.809
0.0,0.3048,39.6,0.00310138,126.959
0.0,0.3048,39.6,0.00310138,128.629
0.0,0.3048,39.6,0.00310138,129.099
0.0,0.3048,39.6,0.00310138,127.899
0.0,0.3048,39.6,0.00310138,125.499
0.0,0.3048,39.6,0.00310138,124.04899999999999
0.0,0.3048,39.6,0.00310138,123.689
0.0,0.3048,39.6,0.00310138,121.399
0.0,0.3048,39.6,0.00310138,120.319
0.0,0.3048,39.6,0.00310138,119.229
0.0,0.3048,39.6,0.00310138,117.789
0.0,0.3048,39.6,0.00310138,116.229
0.0,0.3048,39.6,0.00310138,114.779
0.0,0.3048,39.6,0.00310138,112.139
0.0,0.3048,39.6,0.00310138,109.619
0.0,0.3048,31.7,0.00331266,117.195
0.0,0.3048,31.7,0.00331266,118.595
0.0,0.3048,31.7,0.00331266,122.765
0.0,0.3048,31.7,0.00331266,125.045
0.0,0.3048,31.7,0.00331266,127.315
0.0,0.3048,31.7,0.00331266,129.095
0.0,0.3048,31.7,0.00331266,129.235
0.0,0.3048,31.7,0.00331266,127.365
0.0,0.3048,31.7,0.00331266,124.355
0.0,0.3048,31.7,0.00331266,122.365
0.0,0.3048,31.7,0.00331266,122.375
0.0,0.3048,31.7,0.00331266,120.755
0.0,0.3048,31.7,0.00331266,119.135
0.0,0.3048,31.7,0.00331266,118.145
0.0,0.3048,31.7,0.00331266,115.645
0.0,0.3048,31.7,0.00331266,113.775
0.0,0.3048,31.7,0.00331266,110.515
0.0,0.3048,31.7,0.00331266,108.265
1.5,0.3048,71.3,0.00336729,127.12200000000001
1.5,0.3048,71.3,0.00336729,125.992
1.5,0.3048,71.3,0.00336729,125.87200000000001
1.5,0.3048,71.3,0.00336729,126.632
1.5,0.3048,71.3,0.00336729,126.64200000000001
1.5,0.3048,71.3,0.00336729,124.512
1.5,0.3048,71.3,0.00336729,123.39200000000001
1.5,0.3048,71.3,0.00336729,121.762
1.5,0.3048,71.3,0.00336729,119.632
1.5,0.3048,71.3,0.00336729,118.12200000000001
1.5,0.3048,71.3,0.00336729,115.37200000000001
1.5,0.3048,71.3,0.00336729,113.492
1.5,0.3048,71.3,0.00336729,109.22200000000001
1.5,0.3048,71.3,0.00336729,106.58200000000001
1.5,0.3048,39.6,0.00392107,121.851
1.5,0.3048,39.6,0.00392107,124.001
1.5,0.3048,39.6,0.00392107,126.661
1.5,0.3048,39.6,0.00392107,128.311
1.5,0.3048,39.6,0.00392107,128.83100000000002
1.5,0.3048,39.6,0.00392107,127.581
1.5,0.3048,39.6,0.00392107,125.211
1.5,0.3048,39.6,0.00392107,122.211
1.5,0.3048,39.6,0.00392107,122.101
1.5,0.3048,39.6,0.00392107,120.98100000000001
1.5,0.3048,39.6,0.00392107,119.111
1.5,0.3048,39.6,0.00392107,117.741
1.5,0.3048,39.6,0.00392107,116.241
1.5,0.3048,39.6,0.00392107,114.751
1.5,0.3048,39.6,0.00392107,112.251
1.5,0.3048,39.6,0.00392107,108.991
1.5,0.3048,39.6,0.00392107,106.111
3.0,0.3048,71.3,0.00425727,127.564
3.0,0.3048,71.3,0.00425727,128.454
3.0,0.3048,71.3,0.00425727,129.35399999999998
3.0,0.3048,71.3,0.00425727,129.494
3.0,0.3048,71.3,0.00425727,129.004
3.0,0.3048,71.3,0.00425727,127.634
3.0,0.3048,71.3,0.00425727,126.514
3.0,0.3048,71.3,0.00425727,125.524
3.0,0.3048,71.3,0.00425727,124.024
3.0,0.3048,71.3,0.00425727,121.514
3.0,0.3048,71.3,0.00425727,120.264
3.0,0.3048,71.3,0.00425727,118.134
3.0,0.3048,71.3,0.00425727,116.134
3.0,0.3048,71.3,0.00425727,114.634
3.0,0.3048,71.3,0.00425727,110.22399999999999
3.0,0.3048,55.5,0.00452492,126.15899999999999
3.0,0.3048,55.5,0.00452492,128.179
3.0,0.3048,55.5,0.00452492,129.569
3.0,0.3048,55.5,0.00452492,129.94899999999998
3.0,0.3048,55.5,0.00452492,129.329
3.0,0.3048,55.5,0.00452492,127.329
3.0,0.3048,55.5,0.00452492,124.439
3.0,0.3048,55.5,0.00452492,123.069
3.0,0.3048,55.5,0.00452492,122.439
3.0,0.3048,55.5,0.00452492,120.189
3.0,0.3048,55.5,0.00452492,118.689
3.0,0.3048,55.5,0.00452492,117.309
3.0,0.3048,55.5,0.00452492,115.679
3.0,0.3048,55.5,0.00452492,113.79899999999999
3.0,0.3048,55.5,0.00452492,112.169
3.0,0.3048,39.6,0.00495741,123.31200000000001
3.0,0.3048,39.6,0.00495741,125.47200000000001
3.0,0.3048,39.6,0.00495741,127.632
3.0,0.3048,39.6,0.00495741,129.292
3.0,0.3048,39.6,0.00495741,129.55200000000002
3.0,0.3048,39.6,0.00495741,128.312
3.0,0.3048,39.6,0.00495741,125.802
3.0,0.3048,39.6,0.00495741,122.78200000000001
3.0,0.3048,39.6,0.00495741,120.53200000000001
3.0,0.3048,39.6,0.00495741,120.162
3.0,0.3048,39.6,0.00495741,118.92200000000001
3.0,0.3048,39.6,0.00495741,116.792
3.0,0.3048,39.6,0.00495741,115.792
3.0,0.3048,39.6,0.00495741,114.042
3.0,0.3048,39.6,0.00495741,110.652
3.0,0.3048,31.7,0.00529514,123.118
3.0,0.3048,31.7,0.00529514,125.398
3.0,0.3048,31.7,0.00529514,127.54799999999999
3.0,0.3048,31.7,0.00529514,128.69799999999998
3.0,0.3048,31.7,0.00529514,128.708
3.0,0.3048,31.7,0.00529514,126.838
3.0,0.3048,31.7,0.00529514,124.838
3.0,0.3048,31.7,0.00529514,122.088
3.0,0.3048,31.7,0.00529514,120.088
3.0,0.3048,31.7,0.00529514,119.598
3.0,0.3048,31.7,0.00529514,118.10799999999999
3.0,0.3048,31.7,0.00529514,115.60799999999999
3.0,0.3048,31.7,0.00529514,113.85799999999999
3.0,0.3048,31.7,0.00529514,109.71799999999999
4.0,0.3048,71.3,0.00497773,126.395
4.0,0.3048,71.3,0.00497773,128.175
4.0,0.3048,71.3,0.00497773,129.575
4.0,0.3048,71.3,0.00497773,130.715
4.0,0.3048,71.3,0.00497773,131.615
4.0,0.3048,71.3,0.00497773,131.755
4.0,0.3048,71.3,0.00497773,131.015
4.0,0.3048,71.3,0.00497773,129.395
4.0,0.3048,71.3,0.00497773,126.645
4.0,0.3048,71.3,0.00497773,124.395
4.0,0.3048,71.3,0.00497773,123.775
4.0,0.3048,71.3,0.00497773,121.775
4.0,0.3048,71.3,0.00497773,119.535
4.0,0.3048,71.3,0.00497773,117.785
4.0,0.3048,71.3,0.00497773,116.165
4.0,0.3048,71.3,0.00497773,113.665
4.0,0.3048,71.3,0.00497773,110.905
4.0,0.3048,71.3,0.00497773,107.405
4.0,0.3048,39.6,0.00579636,123.54299999999999
4.0,0.3048,39.6,0.00579636,126.84299999999999
4.0,0.3048,39.6,0.00579636,128.63299999999998
4.0,0.3048,39.6,0.00579636,130.173
4.0,0.3048,39.6,0.00579636,131.07299999999998
4.0,0.3048,39.6,0.00579636,130.72299999999998
4.0,0.3048,39.6,0.00579636,128.72299999999998
4.0,0.3048,39.6,0.00579636,126.34299999999999
4.0,0.3048,39.6,0.00579636,123.213
4.0,0.3048,39.6,0.00579636,120.963
4.0,0.3048,39.6,0.00579636,120.23299999999999
4.0,0.3048,39.6,0.00579636,118.743
4.0,0.3048,39.6,0.00579636,115.863
4.0,0.3048,39.6,0.00579636,113.73299999999999
0.0,0.2286,71.3,0.00214345,128.144
0.0,0.2286,71.3,0.00214345,129.134
0.0,0.2286,71.3,0.00214345,128.244
0.0,0.2286,71.3,0.00214345,128.35399999999998
0.0,0.2286,71.3,0.00214345,127.834
0.0,0.2286,71.3,0.00214345,125.824
0.0,0.2286,71.3,0.00214345,124.304
0.0,0.2286,71.3,0.00214345,122.044
0.0,0.2286,71.3,0.00214345,118.024
0.0,0.2286,71.3,0.00214345,118.134
0.0,0.2286,71.3,0.00214345,117.624
0.0,0.2286,71.3,0.00214345,114.984
0.0,0.2286,71.3,0.00214345,114.47399999999999
0.0,0.2286,55.5,0.00229336,119.54
0.0,0.2286,55.5,0.00229336,121.66
0.0,0.2286,55.5,0.00229336,123.78
0.0,0.2286,55.5,0.00229336,126.16
0.0,0.2286,55.5,0.00229336,127.53
0.0,0.2286,55.5,0.00229336,128.29
0.0,0.2286,55.5,0.00229336,127.91
0.0,0.2286,55.5,0.00229336,126.79
0.0,0.2286,55.5,0.00229336,126.54
0.0,0.2286,55.5,0.00229336,126.54
0.0,0.2286,55.5,0.00229336,125.16
0.0,0.2286,55.5,0.00229336,123.41
0.0,0.2286,55.5,0.00229336,122.41
0.0,0.2286,55.5,0.00229336,118.41
0.0,0.2286,39.6,0.00253511,121.055
0.0,0.2286,39.6,0.00253511,123.565
0.0,0.2286,39.6,0.00253511,126.195
0.0,0.2286,39.6,0.00253511,128.705
0.0,0.2286,39.6,0.00253511,130.205
0.0,0.2286,39.6,0.00253511,130.435
0.0,0.2286,39.6,0.00253511,129.395
0.0,0.2286,39.6,0.00253511,127.095
0.0,0.2286,39.6,0.00253511,125.305
0.0,0.2286,39.6,0.00253511,125.025
0.0,0.2286,39.6,0.00253511,124.625
0.0,0.2286,39.6,0.00253511,123.465
0.0,0.2286,39.6,0.00253511,122.175
0.0,0.2286,39.6,0.00253511,117.465
0.0,0.2286,31.7,0.0027238,120.595
0.0,0.2286,31.7,0.0027238,123.635
0.0,0.2286,31.7,0.0027238,126.675
0.0,0.2286,31.7,0.0027238,129.465
0.0,0.2286,31.7,0.0027238,130.725
0.0,0.2286,31.7,0.0027238,130.595
0.0,0.2286,31.7,0.0027238,128.805
0.0,0.2286,31.7,0.0027238,125.625
0.0,0.2286,31.7,0.0027238,123.455
0.0,0.2286,31.7,0.0027238,123.445
0.0,0.2286,31.7,0.0027238,123.445
0.0,0.2286,31.7,0.0027238,122.035
0.0,0.2286,31.7,0.0027238,120.505
0.0,0.2286,31.7,0.0027238,116.815
2.0,0.2286,71.3,0.00293031,125.116
2.0,0.2286,71.3,0.00293031,126.486
2.0,0.2286,71.3,0.00293031,127.35600000000001
2.0,0.2286,71.3,0.00293031,128.216
2.0,0.2286,71.3,0.00293031,128.95600000000002
2.0,0.2286,71.3,0.00293031,128.816
2.0,0.2286,71.3,0.00293031,127.796
2.0,0.2286,71.3,0.00293031,126.896
2.0,0.2286,71.3,0.00293031,127.006
2.0,0.2286,71.3,0.00293031,126.116
2.0,0.2286,71.3,0.00293031,124.086
2.0,0.2286,71.3,0.00293031,122.816
2.0,0.2286,71.3,0.00293031,120.786
2.0,0.2286,71.3,0.00293031,115.99600000000001
2.0,0.2286,71.3,0.00293031,113.086
2.0,0.2286,55.5,0.00313525,122.292
2.0,0.2286,55.5,0.00313525,124.69200000000001
2.0,0.2286,55.5,0.00313525,126.84200000000001
2.0,0.2286,55.5,0.00313525,128.49200000000002
2.0,0.2286,55.5,0.00313525,129.002
2.0,0.2286,55.5,0.00313525,128.762
2.0,0.2286,55.5,0.00313525,126.75200000000001
2.0,0.2286,55.5,0.00313525,124.61200000000001
2.0,0.2286,55.5,0.00313525,123.86200000000001
2.0,0.2286,55.5,0.00313525,123.742
2.0,0.2286,55.5,0.00313525,122.23200000000001
2.0,0.2286,55.5,0.00313525,120.47200000000001
2.0,0.2286,55.5,0.00313525,118.712
2.0,0.2286,39.6,0.00346574,120.137
2.0,0.2286,39.6,0.00346574,122.147
2.0,0.2286,39.6,0.00346574,125.15700000000001
2.0,0.2286,39.6,0.00346574,127.417
2.0,0.2286,39.6,0.00346574,129.037
2.0,0.2286,39.6,0.00346574,129.14700000000002
2.0,0.2286,39.6,0.00346574,128.257
2.0,0.2286,39.6,0.00346574,125.837
2.0,0.2286,39.6,0.00346574,122.79700000000001
2.0,0.2286,39.6,0.00346574,121.397
2.0,0.2286,39.6,0.00346574,121.62700000000001
2.0,0.2286,39.6,0.00346574,120.227
2.0,0.2286,39.6,0.00346574,118.82700000000001
2.0,0.2286,39.6,0.00346574,116.417
2.0,0.2286,31.7,0.00372371,120.147
2.0,0.2286,31.7,0.00372371,123.417
2.0,0.2286,31.7,0.00372371,126.677
2.0,0.2286,31.7,0.00372371,129.05700000000002
2.0,0.2286,31.7,0.00372371,130.30700000000002
2.0,0.2286,31.7,0.00372371,130.30700000000002
2.0,0.2286,31.7,0.00372371,128.67700000000002
2.0,0.2286,31.7,0.00372371,125.79700000000001
2.0,0.2286,31.7,0.00372371,123.037
2.0,0.2286,31.7,0.00372371,121.40700000000001
2.0,0.2286,31.7,0.00372371,121.527
2.0,0.2286,31.7,0.00372371,120.527
2.0,0.2286,31.7,0.00372371,118.26700000000001
2.0,0.2286,31.7,0.00372371,115.137
4.0,0.2286,71.3,0.00400603,126.758
4.0,0.2286,71.3,0.00400603,129.03799999999998
4.0,0.2286,71.3,0.00400603,130.688
4.0,0.2286,71.3,0.00400603,131.708
4.0,0.2286,71.3,0.00400603,131.718
4.0,0.2286,71.3,0.00400603,129.468
4.0,0.2286,71.3,0.00400603,126.21799999999999
4.0,0.2286,71.3,0.00400603,124.338
4.0,0.2286,71.3,0.00400603,124.10799999999999
4.0,0.2286,71.3,0.00400603,121.728
4.0,0.2286,71.3,0.00400603,121.118
4.0,0.2286,71.3,0.00400603,118.618
4.0,0.2286,71.3,0.00400603,112.848
4.0,0.2286,71.3,0.00400603,113.10799999999999
4.0,0.2286,71.3,0.00400603,114.258
4.0,0.2286,71.3,0.00400603,112.76799999999999
4.0,0.2286,71.3,0.00400603,109.63799999999999
4.0,0.2286,55.5,0.0042861999999999996,123.274
4.0,0.2286,55.5,0.0042861999999999996,127.314
4.0,0.2286,55.5,0.0042861999999999996,129.964
4.0,0.2286,55.5,0.0042861999999999996,131.864
4.0,0.2286,55.5,0.0042861999999999996,132.134
4.0,0.2286,55.5,0.0042861999999999996,131.264
4.0,0.2286,55.5,0.0042861999999999996,128.264
4.0,0.2286,55.5,0.0042861999999999996,124.25399999999999
4.0,0.2286,55.5,0.0042861999999999996,122.384
4.0,0.2286,55.5,0.0042861999999999996,122.39399999999999
4.0,0.2286,55.5,0.0042861999999999996,120.654
4.0,0.2286,55.5,0.0042861999999999996,120.03399999999999
4.0,0.2286,55.5,0.0042861999999999996,117.154
4.0,0.2286,55.5,0.0042861999999999996,112.524
4.0,0.2286,39.6,0.00473801,122.229
4.0,0.2286,39.6,0.00473801,123.87899999999999
4.0,0.2286,39.6,0.00473801,127.039
4.0,0.2286,39.6,0.00473801,129.579
4.0,0.2286,39.6,0.00473801,130.469
4.0,0.2286,39.6,0.00473801,129.969
4.0,0.2286,39.6,0.00473801,128.339
4.0,0.2286,39.6,0.00473801,125.319
4.0,0.2286,39.6,0.00473801,121.65899999999999
4.0,0.2286,39.6,0.00473801,119.649
4.0,0.2286,39.6,0.00473801,120.419
4.0,0.2286,39.6,0.00473801,119.15899999999999
4.0,0.2286,39.6,0.00473801,117.649
4.0,0.2286,39.6,0.00473801,114.249
4.0,0.2286,39.6,0.00473801,113.12899999999999
4.0,0.2286,31.7,0.00509068,120.189
4.0,0.2286,31.7,0.00509068,123.609
4.0,0.2286,31.7,0.00509068,126.149
4.0,0.2286,31.7,0.00509068,128.939
4.0,0.2286,31.7,0.00509068,130.349
4.0,0.2286,31.7,0.00509068,130.869
4.0,0.2286,31.7,0.00509068,129.869
4.0,0.2286,31.7,0.00509068,128.119
4.0,0.2286,31.7,0.00509068,125.229
4.0,0.2286,31.7,0.00509068,122.089
4.0,0.2286,31.7,0.00509068,120.209
4.0,0.2286,31.7,0.00509068,120.229
4.0,0.2286,31.7,0.00509068,118.859
4.0,0.2286,31.7,0.00509068,115.969
4.0,0.2286,31.7,0.00509068,112.699
5.3,0.2286,71.3,0.0051942,127.7
5.3,0.2286,71.3,0.0051942,129.88
5.3,0.2286,71.3,0.0051942,131.8
5.3,0.2286,71.3,0.0051942,133.48
5.3,0.2286,71.3,0.0051942,134.0
5.3,0.2286,71.3,0.0051942,133.38
5.3,0.2286,71.3,0.0051942,130.46
5.3,0.2286,71.3,0.0051942,125.89
5.3,0.2286,71.3,0.0051942,123.74
5.3,0.2286,71.3,0.0051942,123.12
5.3,0.2286,71.3,0.0051942,120.33
5.3,0.2286,71.3,0.0051942,118.05
5.3,0.2286,71.3,0.0051942,116.92
5.3,0.2286,71.3,0.0051942,114.9
5.3,0.2286,71.3,0.0051942,111.35
5.3,0.2286,39.6,0.00614329,127.01100000000001
5.3,0.2286,39.6,0.00614329,129.691
5.3,0.2286,39.6,0.00614329,131.221
5.3,0.2286,39.6,0.00614329,132.251
5.3,0.2286,39.6,0.00614329,132.011
5.3,0.2286,39.6,0.00614329,129.491
5.3,0.2286,39.6,0.00614329,125.581
5.3,0.2286,39.6,0.00614329,125.721
5.3,0.2286,39.6,0.00614329,123.081
5.3,0.2286,39.6,0.00614329,117.911
5.3,0.2286,39.6,0.00614329,116.15100000000001
5.3,0.2286,39.6,0.00614329,118.441
5.3,0.2286,39.6,0.00614329,115.801
5.3,0.2286,39.6,0.00614329,115.311
5.3,0.2286,39.6,0.00614329,112.541
7.3,0.2286,71.3,0.010440399999999999,138.75799999999998
7.3,0.2286,71.3,0.010440399999999999,139.918
7.3,0.2286,71.3,0.010440399999999999,139.808
7.3,0.2286,71.3,0.010440399999999999,139.438
7.3,0.2286,71.3,0.010440399999999999,136.798
7.3,0.2286,71.3,0.010440399999999999,133.768
7.3,0.2286,71.3,0.010440399999999999,130.748
7.3,0.2286,71.3,0.010440399999999999,126.838
7.3,0.2286,71.3,0.010440399999999999,127.35799999999999
7.3,0.2286,71.3,0.010440399999999999,125.728
7.3,0.2286,71.3,0.010440399999999999,122.708
7.3,0.2286,71.3,0.010440399999999999,122.088
7.3,0.2286,71.3,0.010440399999999999,120.458
7.3,0.2286,71.3,0.010440399999999999,119.208
7.3,0.2286,71.3,0.010440399999999999,115.29799999999999
7.3,0.2286,71.3,0.010440399999999999,115.818
7.3,0.2286,55.5,0.011170600000000001,135.234
7.3,0.2286,55.5,0.011170600000000001,136.384
7.3,0.2286,55.5,0.011170600000000001,136.284
7.3,0.2286,55.5,0.011170600000000001,135.924
7.3,0.2286,55.5,0.011170600000000001,133.174
7.3,0.2286,55.5,0.011170600000000001,130.934
7.3,0.2286,55.5,0.011170600000000001,128.444
7.3,0.2286,55.5,0.011170600000000001,125.194
7.3,0.2286,55.5,0.011170600000000001,125.72399999999999
7.3,0.2286,55.5,0.011170600000000001,123.354
7.3,0.2286,55.5,0.011170600000000001,120.354
7.3,0.2286,55.5,0.011170600000000001,118.994
7.3,0.2286,55.5,0.011170600000000001,117.134
7.3,0.2286,55.5,0.011170600000000001,117.28399999999999
7.3,0.2286,55.5,0.011170600000000001,113.14399999999999
7.3,0.2286,55.5,0.011170600000000001,111.53399999999999
7.3,0.2286,39.6,0.0123481,130.989
7.3,0.2286,39.6,0.0123481,131.889
7.3,0.2286,39.6,0.0123481,132.149
7.3,0.2286,39.6,0.0123481,132.039
7.3,0.2286,39.6,0.0123481,130.299
7.3,0.2286,39.6,0.0123481,128.929
7.3,0.2286,39.6,0.0123481,126.29899999999999
7.3,0.2286,39.6,0.0123481,122.539
7.3,0.2286,39.6,0.0123481,123.189
7.3,0.2286,39.6,0.0123481,121.059
7.3,0.2286,39.6,0.0123481,117.809
7.3,0.2286,39.6,0.0123481,116.559
7.3,0.2286,39.6,0.0123481,114.309
7.3,0.2286,39.6,0.0123481,114.079
7.3,0.2286,39.6,0.0123481,111.959
7.3,0.2286,39.6,0.0123481,110.839
7.3,0.2286,31.7,0.0132672,128.679
7.3,0.2286,31.7,0.0132672,130.089
7.3,0.2286,31.7,0.0132672,130.239
7.3,0.2286,31.7,0.0132672,130.269
7.3,0.2286,31.7,0.0132672,128.16899999999998
7.3,0.2286,31.7,0.0132672,126.189
7.3,0.2286,31.7,0.0132672,123.209
7.3,0.2286,31.7,0.0132672,119.09899999999999
7.3,0.2286,31.7,0.0132672,120.509
7.3,0.2286,31.7,0.0132672,119.039
7.3,0.2286,31.7,0.0132672,115.309
7.3,0.2286,31.7,0.0132672,114.709
7.3,0.2286,31.7,0.0132672,113.229
7.3,0.2286,31.7,0.0132672,112.639
7.3,0.2286,31.7,0.0132672,111.029
7.3,0.2286,31.7,0.0132672,110.689
0.0,0.1524,71.3,0.0015988,125.81700000000001
0.0,0.1524,71.3,0.0015988,127.307
0.0,0.1524,71.3,0.0015988,128.92700000000002
0.0,0.1524,71.3,0.0015988,129.667
0.0,0.1524,71.3,0.0015988,128.64700000000002
0.0,0.1524,71.3,0.0015988,128.127
0.0,0.1524,71.3,0.0015988,129.377
0.0,0.1524,71.3,0.0015988,128.857
0.0,0.1524,71.3,0.0015988,126.45700000000001
0.0,0.1524,71.3,0.0015988,125.427
0.0,0.1524,71.3,0.0015988,122.527
0.0,0.1524,71.3,0.0015988,120.24700000000001
0.0,0.1524,71.3,0.0015988,117.087
0.0,0.1524,71.3,0.0015988,113.29700000000001
0.0,0.1524,55.5,0.00172668,120.573
0.0,0.1524,55.5,0.00172668,123.583
0.0,0.1524,55.5,0.00172668,126.713
0.0,0.1524,55.5,0.00172668,128.583
0.0,0.1524,55.5,0.00172668,129.953
0.0,0.1524,55.5,0.00172668,130.183
0.0,0.1524,55.5,0.00172668,129.673
0.0,0.1524,55.5,0.00172668,127.76299999999999
0.0,0.1524,55.5,0.00172668,127.75299999999999
0.0,0.1524,55.5,0.00172668,127.23299999999999
0.0,0.1524,55.5,0.00172668,125.20299999999999
0.0,0.1524,55.5,0.00172668,123.303
0.0,0.1524,55.5,0.00172668,121.90299999999999
0.0,0.1524,55.5,0.00172668,119.25299999999999
0.0,0.1524,55.5,0.00172668,117.09299999999999
0.0,0.1524,55.5,0.00172668,112.803
0.0,0.1524,39.6,0.00193287,119.51299999999999
0.0,0.1524,39.6,0.00193287,124.40299999999999
0.0,0.1524,39.6,0.00193287,127.90299999999999
0.0,0.1524,39.6,0.00193287,130.033
0.0,0.1524,39.6,0.00193287,131.023
0.0,0.1524,39.6,0.00193287,131.013
0.0,0.1524,39.6,0.00193287,129.63299999999998
0.0,0.1524,39.6,0.00193287,126.863
0.0,0.1524,39.6,0.00193287,125.603
0.0,0.1524,39.6,0.00193287,125.34299999999999
0.0,0.1524,39.6,0.00193287,123.45299999999999
0.0,0.1524,39.6,0.00193287,121.31299999999999
0.0,0.1524,39.6,0.00193287,120.553
0.0,0.1524,39.6,0.00193287,115.413
0.0,0.1524,31.7,0.00209405,121.617
0.0,0.1524,31.7,0.00209405,125.99700000000001
0.0,0.1524,31.7,0.00209405,129.11700000000002
0.0,0.1524,31.7,0.00209405,130.987
0.0,0.1524,31.7,0.00209405,131.467
0.0,0.1524,31.7,0.00209405,130.817
0.0,0.1524,31.7,0.00209405,128.907
0.0,0.1524,31.7,0.00209405,125.867
0.0,0.1524,31.7,0.00209405,124.20700000000001
0.0,0.1524,31.7,0.00209405,123.807
0.0,0.1524,31.7,0.00209405,122.397
0.0,0.1524,31.7,0.00209405,119.73700000000001
0.0,0.1524,31.7,0.00209405,117.95700000000001
2.7,0.1524,71.3,0.00243851,127.404
2.7,0.1524,71.3,0.00243851,127.39399999999999
